,,,,,,,,,
HEXAGESIMAL,,,,,Rate,,,,NOTAS DIEGO
,Address,SIZE (Word),Register Name,Data Type,,Unit,Property,Register Description,
16588,40CBH,2,Year BatChgEnergy,Uint32,-2,Kwh,R,Energy Used for Battery Charging in the current year,BAT CARGA AÑO (kwh)
16590,40CDH,2,Total BatChgEnergy,Uint32,-2,Kwh,R,Total Energy Used for Battery Charging,BAT CARGA TOTAL(kwh)
16592,40CFH,2,Today BatDisEnergy,Uint32,-2,Kwh,R,Today's Energy Discharged by Battery,BAT DESCARGA HOY (kwh)
16594,40D1H,2,Month BatDisEnergy,Uint32,-2,kwh,R,Energy Discharged by Battery in the current month,BAT DESCARGA MES (kwh)
16596,40D3H,2,Year BatDisEnergy,Uint32,-2,Kwh,R,Energy Discharged by Battery in the current year,BAT DESCARGA AÑO (kwh)
16598,40D5H,2,Total BatDisEnergy,Uint32,-2,Kwh,R,Total Energy Discharged by Battery,BAT DESCARGA TOTAL (kwh)
16600,40DFH,2,Today TotalLoadEnergy,Uint32,-2,Kwh,R,Load Power Consumption of today, LOAD POWER HOY (kwh)
16602,40E1H,2,Month TotalLoadEnergy,Uint32,-2,Kwh,R,Load Power Consumption of the month, LOAD POWER MES (kwh)
16604,40E3H,2,Year TotalLoadEnergy,Uint32,-2,Kwh,R,Load Power Consumption of the year, LOAD POWER AÑO (kwh)
16606,40E5H,2,Total TotalLoadEnergy,Uint32,-2,Kwh,R,Total Load Power Consumption, LOAD POWER TOTAL (kwh)
16608,40E7H,2,Today BackupLoadEnergy,Uint32,-2,Kwh,R,Today’s Backup Load Energy,CONSUMO HOY (kwh)
16610,40E9H,2,Month BackupLoadEnergy,Uint32,-2,Kwh,R,Backup Load Energy in the current month,CONSUMO  MES (kwh)
16612,40EBH,2,Year BackupLoadEnergy,Uint32,-2,Kwh,R,Backup Load Energy in the current year,CONSUMO  AÑO(kwh)
16614,40EDH,2,Total BackupLoadEnergy,Uint32,-2,Kwh,R,Total Backup Load Energy,CONSUMO TOTAL (kwh)
16616,,,,,,,,,
16618,,,,,,,,,
16620,,,,,,,,,
16622,,,,,,,,,
16624,40EFH,2,Today SellEnergy,Uint32,-2,kwh,R,Power Export to the Grid today,EXP HOY (kwh)
16626,40F1H,2,Month SellEnergy,Uint32,-2,Kwh,R,Power Export to the Grid in the current month,EXP MES (kwh)
16628,40F3H,2,Year SellEnergy,Uint32,-2,Kwh,R,Power Export to the Grid in the current year,EXP AÑO (kwh)
16630,40F5H,2,Total SellEnergy,Uint32,-2,Kwh,R,Total Power Export to the Grid,EXP TOTAL (kwh)
16632,40F7H,2,Today FeedInEnergy,Uint32,-2,Kwh,R,Power Imported from the Grid of today,IMP HOY (kwh)
16634,40F9H,2,Month FeedInEnergy,Uint32,-2,Kwh,R,Power Imported from the Grid in the current month,IMP MES (kwh)
16636,40FBH,2,Year FeedInEnergy,Uint32,-2,Kwh,R,Power Imported from the Grid in the current year,IMP AÑO (kwh)
16638,40FDH,2,Total FeedInEnergy,Uint32,-2,Kwh,R,Total Power Imported from the Grid,IMP TOTAL (kwh)
